Block Offset,Method
0x3F00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x4000,Per-segment bit permutation (A0–A4 brute-force)
0x4100,Per-segment bit permutation (A0–A4 brute-force)
0x4200,Per-segment bit permutation (A0–A4 brute-force)
0x4300,Per-segment bit permutation (A0–A4 brute-force)
0x4400,Per-segment bit permutation (A0–A4 brute-force)
0x4500,Per-segment bit permutation (A0–A4 brute-force)
0x4600,Per-segment bit permutation (A0–A4 brute-force)
0x4700,Per-segment bit permutation (A0–A4 brute-force)
0x4800,Per-segment bit permutation (A0–A4 brute-force)
0x4900,Per-segment bit permutation (A0–A4 brute-force)
0x4A00,Per-segment bit permutation (A0–A4 brute-force)
0x4B00,Per-segment bit permutation (A0–A4 brute-force)
0x4C00,Per-segment bit permutation (A0–A4 brute-force)
0x4D00,Per-segment bit permutation (A0–A4 brute-force)
0x4E00,Per-segment bit permutation (A0–A4 brute-force)
0x4F00,Per-segment bit permutation (A0–A4 brute-force)
0x5000,Per-segment bit permutation (A0–A4 brute-force)
0x5100,Per-segment bit permutation (A0–A4 brute-force)
0x5200,Per-segment bit permutation (A0–A4 brute-force)
0x5300,Per-segment bit permutation (A0–A4 brute-force)
0x5400,Per-segment bit permutation (A0–A4 brute-force)
0x5500,Per-segment bit permutation (A0–A4 brute-force)
0x5600,Per-segment bit permutation (A0–A4 brute-force)
0x5700,Per-segment bit permutation (A0–A4 brute-force)
0x5800,Per-segment bit permutation (A0–A4 brute-force)
0x5900,Per-segment bit permutation (A0–A4 brute-force)
0x5A00,Per-segment bit permutation (A0–A4 brute-force)
0x5B00,Per-segment bit permutation (A0–A4 brute-force)
0x5C00,Per-segment bit permutation (A0–A4 brute-force)
0x5D00,Per-segment bit permutation (A0–A4 brute-force)
0x5E00,Per-segment bit permutation (A0–A4 brute-force)
0x5F00,Per-segment bit permutation (A0–A4 brute-force)
0x6000,Per-segment bit permutation (A0–A4 brute-force)
0x6100,Per-segment bit permutation (A0–A4 brute-force)
0x6200,Per-segment bit permutation (A0–A4 brute-force)
0x6300,Per-segment bit permutation (A0–A4 brute-force)
0x6400,Per-segment bit permutation (A0–A4 brute-force)
0x6500,Per-segment bit permutation (A0–A4 brute-force)
0x6600,Per-segment bit permutation (A0–A4 brute-force)
0x6700,Per-segment bit permutation (A0–A4 brute-force)
0x6800,Per-segment bit permutation (A0–A4 brute-force)
0x6900,Per-segment bit permutation (A0–A4 brute-force)
0x6A00,Per-segment bit permutation (A0–A4 brute-force)
0x6B00,Per-segment bit permutation (A0–A4 brute-force)
0x6C00,Per-segment bit permutation (A0–A4 brute-force)
0x6D00,Per-segment bit permutation (A0–A4 brute-force)
0x6E00,Per-segment bit permutation (A0–A4 brute-force)
0x6F00,Per-segment bit permutation (A0–A4 brute-force)
0x7000,Per-segment bit permutation (A0–A4 brute-force)
0x7100,Per-segment bit permutation (A0–A4 brute-force)
0x7200,Per-segment bit permutation (A0–A4 brute-force)
0x7300,Per-segment bit permutation (A0–A4 brute-force)
0x7400,Per-segment bit permutation (A0–A4 brute-force)
0x7500,Per-segment bit permutation (A0–A4 brute-force)
0x7600,Per-segment bit permutation (A0–A4 brute-force)
0x7700,Per-segment bit permutation (A0–A4 brute-force)
0x7800,Per-segment bit permutation (A0–A4 brute-force)
0x7900,Per-segment bit permutation (A0–A4 brute-force)
0x7A00,Per-segment bit permutation (A0–A4 brute-force)
0x7B00,Per-segment bit permutation (A0–A4 brute-force)
0x7C00,Per-segment bit permutation (A0–A4 brute-force)
0x7D00,Per-segment bit permutation (A0–A4 brute-force)
0x7E00,Per-segment bit permutation (A0–A4 brute-force)
0x7F00,Per-segment bit permutation (A0–A4 brute-force)
0x8000,Per-segment bit permutation (A0–A4 brute-force)
0x8100,Per-segment bit permutation (A0–A4 brute-force)
0x8200,Per-segment bit permutation (A0–A4 brute-force)
0x8300,Per-segment bit permutation (A0–A4 brute-force)
0x8400,Per-segment bit permutation (A0–A4 brute-force)
0x8500,Per-segment bit permutation (A0–A4 brute-force)
0x8600,Per-segment bit permutation (A0–A4 brute-force)
0x8700,Per-segment bit permutation (A0–A4 brute-force)
0x8800,Per-segment bit permutation (A0–A4 brute-force)
0x8900,Per-segment bit permutation (A0–A4 brute-force)
0x8A00,Per-segment bit permutation (A0–A4 brute-force)
0x8B00,Per-segment bit permutation (A0–A4 brute-force)
0x8C00,Per-segment bit permutation (A0–A4 brute-force)
0x8D00,Per-segment bit permutation (A0–A4 brute-force)
0x8E00,Per-segment bit permutation (A0–A4 brute-force)
0x8F00,Per-segment bit permutation (A0–A4 brute-force)
0x9000,Per-segment bit permutation (A0–A4 brute-force)
0x9100,Per-segment bit permutation (A0–A4 brute-force)
0x9200,Per-segment bit permutation (A0–A4 brute-force)
0x9300,Per-segment bit permutation (A0–A4 brute-force)
0x9400,Per-segment bit permutation (A0–A4 brute-force)
0x9500,Per-segment bit permutation (A0–A4 brute-force)
0x9600,Per-segment bit permutation (A0–A4 brute-force)
0x9700,Per-segment bit permutation (A0–A4 brute-force)
0x9800,Per-segment bit permutation (A0–A4 brute-force)
0x9900,Per-segment bit permutation (A0–A4 brute-force)
0x9A00,Per-segment bit permutation (A0–A4 brute-force)
0x9B00,Per-segment bit permutation (A0–A4 brute-force)
0x9C00,Per-segment bit permutation (A0–A4 brute-force)
0x9D00,Per-segment bit permutation (A0–A4 brute-force)
0x9E00,Per-segment bit permutation (A0–A4 brute-force)
0x9F00,Per-segment bit permutation (A0–A4 brute-force)
0xA000,Per-segment bit permutation (A0–A4 brute-force)
0xA100,Per-segment bit permutation (A0–A4 brute-force)
0xA200,Per-segment bit permutation (A0–A4 brute-force)
0xA300,Per-segment bit permutation (A0–A4 brute-force)
0xA400,Per-segment bit permutation (A0–A4 brute-force)
0xA500,Per-segment bit permutation (A0–A4 brute-force)
0xA600,Per-segment bit permutation (A0–A4 brute-force)
0xA700,Per-segment bit permutation (A0–A4 brute-force)
0xA800,Per-segment bit permutation (A0–A4 brute-force)
0xA900,Per-segment bit permutation (A0–A4 brute-force)
0xAA00,Per-segment bit permutation (A0–A4 brute-force)
0xAB00,Per-segment bit permutation (A0–A4 brute-force)
0xAC00,Per-segment bit permutation (A0–A4 brute-force)
0xAD00,Per-segment bit permutation (A0–A4 brute-force)
0xAE00,Per-segment bit permutation (A0–A4 brute-force)
0xAF00,Per-segment bit permutation (A0–A4 brute-force)
0xB000,Per-segment bit permutation (A0–A4 brute-force)
0xB100,Per-segment bit permutation (A0–A4 brute-force)
0xB200,Per-segment bit permutation (A0–A4 brute-force)
0xB300,Per-segment bit permutation (A0–A4 brute-force)
0xB400,Per-segment bit permutation (A0–A4 brute-force)
0xB500,Per-segment bit permutation (A0–A4 brute-force)
0xB600,Per-segment bit permutation (A0–A4 brute-force)
0xB700,Per-segment bit permutation (A0–A4 brute-force)
0xB800,Per-segment bit permutation (A0–A4 brute-force)
0xB900,Per-segment bit permutation (A0–A4 brute-force)
0xBA00,Per-segment bit permutation (A0–A4 brute-force)
0xBB00,Per-segment bit permutation (A0–A4 brute-force)
0xBC00,Per-segment bit permutation (A0–A4 brute-force)
0xBD00,Per-segment bit permutation (A0–A4 brute-force)
0xBE00,Per-segment bit permutation (A0–A4 brute-force)
0xBF00,Per-segment bit permutation (A0–A4 brute-force)
0xC000,Per-segment bit permutation (A0–A4 brute-force)
0xC100,Per-segment bit permutation (A0–A4 brute-force)
0xC200,Per-segment bit permutation (A0–A4 brute-force)
0xC300,Per-segment bit permutation (A0–A4 brute-force)
0xC400,Per-segment bit permutation (A0–A4 brute-force)
0xC500,Per-segment bit permutation (A0–A4 brute-force)
0xC600,Per-segment bit permutation (A0–A4 brute-force)
0xC700,Per-segment bit permutation (A0–A4 brute-force)
0xC800,Per-segment bit permutation (A0–A4 brute-force)
0xC900,Per-segment bit permutation (A0–A4 brute-force)
0xCA00,Per-segment bit permutation (A0–A4 brute-force)
0xCB00,Per-segment bit permutation (A0–A4 brute-force)
0xCC00,Per-segment bit permutation (A0–A4 brute-force)
0xCD00,Per-segment bit permutation (A0–A4 brute-force)
0xCE00,Per-segment bit permutation (A0–A4 brute-force)
0xCF00,Per-segment bit permutation (A0–A4 brute-force)
0xD000,Per-segment bit permutation (A0–A4 brute-force)
0xD100,Per-segment bit permutation (A0–A4 brute-force)
0xD200,Per-segment bit permutation (A0–A4 brute-force)
0xD300,Per-segment bit permutation (A0–A4 brute-force)
0xD400,Per-segment bit permutation (A0–A4 brute-force)
0xD500,Per-segment bit permutation (A0–A4 brute-force)
0xD600,Per-segment bit permutation (A0–A4 brute-force)
0xD700,Per-segment bit permutation (A0–A4 brute-force)
0xD800,Per-segment bit permutation (A0–A4 brute-force)
0xD900,Per-segment bit permutation (A0–A4 brute-force)
0xDA00,Per-segment bit permutation (A0–A4 brute-force)
0xDB00,Per-segment bit permutation (A0–A4 brute-force)
0xDC00,Per-segment bit permutation (A0–A4 brute-force)
0xDD00,Per-segment bit permutation (A0–A4 brute-force)
0xDE00,Per-segment bit permutation (A0–A4 brute-force)
0xDF00,Per-segment bit permutation (A0–A4 brute-force)
0xE000,Per-segment bit permutation (A0–A4 brute-force)
0xE100,Per-segment bit permutation (A0–A4 brute-force)
0xE200,Per-segment bit permutation (A0–A4 brute-force)
0xE300,Per-segment bit permutation (A0–A4 brute-force)
0xE400,Per-segment bit permutation (A0–A4 brute-force)
0xE500,Per-segment bit permutation (A0–A4 brute-force)
0xE600,Per-segment bit permutation (A0–A4 brute-force)
0xE700,Per-segment bit permutation (A0–A4 brute-force)
0xE800,Per-segment bit permutation (A0–A4 brute-force)
0xE900,Per-segment bit permutation (A0–A4 brute-force)
0xEA00,Per-segment bit permutation (A0–A4 brute-force)
0xEB00,Per-segment bit permutation (A0–A4 brute-force)
0xEC00,Per-segment bit permutation (A0–A4 brute-force)
0xED00,Per-segment bit permutation (A0–A4 brute-force)
0xEE00,Per-segment bit permutation (A0–A4 brute-force)
0xEF00,Per-segment bit permutation (A0–A4 brute-force)
0xF000,Per-segment bit permutation (A0–A4 brute-force)
0xF100,Per-segment bit permutation (A0–A4 brute-force)
0xF200,Per-segment bit permutation (A0–A4 brute-force)
0xF300,Per-segment bit permutation (A0–A4 brute-force)
0xF400,Per-segment bit permutation (A0–A4 brute-force)
0xF500,Per-segment bit permutation (A0–A4 brute-force)
0xF600,Per-segment bit permutation (A0–A4 brute-force)
0xF700,Per-segment bit permutation (A0–A4 brute-force)
0xF800,Per-segment bit permutation (A0–A4 brute-force)
0xF900,Per-segment bit permutation (A0–A4 brute-force)
0xFA00,Per-segment bit permutation (A0–A4 brute-force)
0xFB00,Per-segment bit permutation (A0–A4 brute-force)
0xFC00,Per-segment bit permutation (A0–A4 brute-force)
0xFD00,Per-segment bit permutation (A0–A4 brute-force)
0xFE00,Per-segment bit permutation (A0–A4 brute-force)
0xFF00,Per-segment bit permutation (A0–A4 brute-force)
