Block Offset,Method
0x3F00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x4000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4A00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4B00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4C00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4D00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4E00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x4F00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5A00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5B00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5C00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5D00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5E00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x5F00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6A00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6B00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6C00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6D00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6E00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x6F00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7A00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7B00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7C00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7D00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7E00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x7F00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8A00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8B00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8C00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8D00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8E00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x8F00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9A00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9B00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9C00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9D00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9E00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0x9F00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xA900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xAA00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xAB00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xAC00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xAD00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xAE00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xAF00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xB900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xBA00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xBB00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xBC00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xBD00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xBE00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xBF00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xC900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xCA00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xCB00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xCC00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xCD00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xCE00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xCF00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xD900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xDA00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xDB00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xDC00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xDD00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xDE00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xDF00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xE900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xEA00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xEB00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xEC00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xED00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xEE00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xEF00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF000,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF100,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF200,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF300,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF400,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF500,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF600,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF700,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF800,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xF900,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xFA00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xFB00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xFC00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xFD00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xFE00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
0xFF00,0:01234 | 1:01234 | 2:01234 | 3:01234 | 4:01234 | 5:01234 | 6:01234 | 7:01234
